ds,upper bound,forecast,lower bound
2019-02-03,$17796.36,$15503.52,$12317.12
2019-02-02,$19639.3,$17018.35,$13772.36
2019-02-01,$21106.66,$18612.74,$15354.22
2019-01-31,$17586.46,$15028.89,$12019.6
2019-01-30,$16087.68,$13369.68,$10063.78
2019-01-29,$15054.14,$12631.39,$9545.2
2019-01-28,$14406.34,$11844.96,$8731.59
2019-01-27,$17644.07,$15113.85,$11917.75
2019-01-26,$19146.54,$16589.06,$13623.63
2019-01-25,$20535.14,$18141.53,$15069.12
2019-01-24,$17167.57,$14647.04,$11563.44
2019-01-23,$15615.44,$13028.74,$10129.33
2019-01-22,$14806.67,$12308.1,$9338.15
2019-01-21,$14284.58,$11540.69,$8189.97
2019-01-20,$17175.17,$14724.17,$11841.17
2019-01-19,$18647.41,$16159.77,$13106.35
2019-01-18,$20001.29,$17670.33,$14509.79
2019-01-17,$16617.58,$14266.7,$10948.89
2019-01-16,$15340.38,$12690.52,$9510.61
2019-01-15,$14481.35,$11988.68,$8885.18
2019-01-14,$13824.57,$11241.27,$8130.24
2019-01-13,$16844.9,$14342.27,$11226.06
2019-01-12,$18256.75,$15740.76,$12521.15
2019-01-11,$19572.81,$17212.28,$14007.75
2019-01-10,$16459.93,$13895.51,$10660.0
2019-01-09,$15084.2,$12359.11,$9218.65
2019-01-08,$14277.45,$11674.42,$8637.72
2019-01-07,$13666.9,$10945.5,$7820.09
2019-01-06,$16584.43,$13963.48,$10713.17
2019-01-05,$18043.83,$15323.45,$12260.55
2019-01-04,$19335.69,$16754.23,$13326.19
2019-01-03,$16241.82,$13524.31,$10057.45
2019-01-02,$14679.18,$12027.69,$8894.66
2019-01-01,$14018.58,$11360.16,$8401.54
2018-12-31,$13196.88,$10649.72,$7396.58
2018-12-30,$16509.31,$13819.35,$10556.46
2018-12-29,$17838.11,$15423.19,$12328.68
2018-12-28,$19928.24,$17147.46,$13869.16
2018-12-27,$16313.38,$14072.94,$10827.29
2018-12-26,$15187.85,$12722.83,$9770.7
2018-12-25,$14741.34,$12214.0,$9176.4
2018-12-24,$14378.0,$11636.57,$8684.92
2018-12-23,$17567.64,$15083.18,$11876.58
2018-12-22,$19247.86,$16815.51,$13638.03
2018-12-21,$21139.53,$18675.74,$15370.28
2018-12-20,$17836.36,$15311.42,$12236.42
2018-12-19,$16464.47,$13828.6,$10925.58
2018-12-18,$15747.63,$13262.53,$10323.65
2018-12-17,$15151.42,$12623.43,$9625.15
2018-12-16,$18982.44,$16347.02,$13143.42
2018-12-15,$21009.62,$18207.83,$15021.15
2018-12-14,$22884.01,$20204.01,$16863.8
2018-12-13,$19148.08,$16375.1,$13349.16
2018-12-12,$17396.43,$14622.23,$11571.74
2018-12-11,$16475.89,$13867.08,$10781.16
2018-12-10,$15798.27,$13053.13,$9974.95
2018-12-09,$19119.77,$16718.95,$13450.0
2018-12-08,$21048.97,$18421.06,$15201.53
2018-12-07,$22607.42,$20222.35,$16891.26
2018-12-06,$19034.06,$16389.96,$13153.73
2018-12-05,$17129.84,$14635.5,$11448.19
2018-12-04,$16276.54,$13879.66,$10506.39
2018-12-03,$15746.42,$13064.97,$10105.92
2018-12-02,$19047.06,$16734.11,$13627.76
2018-12-01,$21112.76,$18437.76,$15273.58
2018-11-30,$22629.04,$20240.68,$17138.52
2018-11-29,$19086.06,$16404.82,$13254.09
2018-11-28,$17332.73,$14648.77,$11533.12
